,Features,Coefs,Median_Vals,Mean_Vals
0,GrLivArea,0.29362827770819216,0.0394049568974489,6.536248224530034e-16
1,OverallQual,0.2294932700929483,-0.191125474665613,-4.3481736889566964e-16
2,NeighType_4,0.27038124003492536,0.0,0.1951043916486681
3,Baths,0.04106493379373671,-0.12116557863173598,7.905043710253994e-17
4,BsmtQual_Avg,-0.06235826792495384,0.0,0.4607631389488841
5,GarageArea,0.08376296746816576,0.247538102212675,-1.881044716038321e-16
6,YearRemodAdd,0.07954630480144088,0.42752392708078896,2.5374470942944724e-15
7,NeighType_1,-0.22288515021174862,0.0,0.20230381569474443
8,Fireplaces,0.06518950515004153,0.588597297871588,3.1012709399176437e-16
9,TotalBsmtSF,0.06739212678756314,0.12121840469853802,-3.0936776218946495e-16
10,Foundation_PConc,0.1486764884340695,0.0,0.4499640028797696
11,KitchenQual_Gd,0.018880504095931852,0.0,0.47804175665946724
12,Exterior_BrkComm,-0.726896992701571,0.0,0.0014398848092152627
13,TotRmsAbvGrd,0.003179659198305898,-0.21826644679462698,-3.5848454034872767e-17
14,ExterQual_Avg,-0.015447188625855228,1.0,0.6169906407487401
15,BsmtFinSF,0.09628666337238148,0.5852651910198001,-5.821277385417577e-16
16,CentralAir_Yes,0.14814621433551145,1.0,0.9416846652267818
17,KitchenQual_Avg,-0.01888050409593303,1.0,0.5219582433405328
18,NeighType_2,-0.14133924073549609,0.0,0.28581713462922964
19,BsmtExposure_Yes,0.10388245579683637,0.0,0.3210943124550036
20,MSZoning_Oth,-0.19727515679799448,0.0,0.20374370050395968
21,LotFrontage,0.08102362118909126,0.0561367105319845,1.6317640783097604e-16
22,ExterQual_Ex,0.22793433897303386,0.0,0.03599712023038157
23,OverallCond,0.08736933804971454,-0.672867667147616,-1.3225961402787952e-15
24,ExterCond_Gd,-0.06128112041405485,0.0,0.11951043916486681
25,MasVnrArea,0.028365323545251384,-0.570199227271789,1.8431780380025996e-16
26,WoodDeckSF,0.028030767826939435,-0.7550856808805708,1.2660858682550382e-16
