,MSZoning,LotFrontage,LotShape,LandContour,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SalePrice,NeighType,SalePrice_Log,Age,Baths,2Story,BsmtFinSF,RoadRail,Exterior
0,RL,5.80273872401839,Reg,Lvl,Inside,Gtl,1Fam,7,5,2003,2003,Gable,Brick,196.0,Gd,TA,PConc,Gd,None,GLQ,11.689407579365229,Gd,Yes,Yes,13.697102127294201,1.1943176378757767,Gd,2.440268378362637,0.0,Attchd,10.501575267176273,Yes,0.0,61.0,None,2,2008,208500.0,3.0,12.247699116372562,0,1.3782017963726023,Y,11.16654014453778,None,VinylSd
1,RL,6.1972210008779385,Reg,Lvl,Oth,Gtl,1Fam,6,8,1976,1976,Gable,None,0.0,TA,TA,CBlock,Gd,Yes,ALQ,12.789964409965302,Gd,Yes,Yes,12.789964409965302,1.1943176378757767,Avg,2.055641538058108,1.0,Attchd,10.056650085160447,Yes,298.0,0.0,None,5,2007,181500.0,4.0,12.109016442313738,0,0.9822467037532344,N,12.05996071866902,Yes,MetalSd
2,RL,5.88741871045203,IR1,Lvl,Inside,Gtl,1Fam,7,5,2001,2002,Gable,Brick,162.0,Gd,TA,PConc,Gd,Yes,GLQ,11.889015072881492,Gd,Yes,Yes,13.830364388963288,1.1943176378757767,Gd,2.055641538058108,1.0,Attchd,10.771237148645445,Yes,0.0,42.0,None,9,2008,223500.0,3.0,12.317171167298682,1,1.3782017963726023,Y,10.195142945068264,None,VinylSd
3,RL,5.653921148278169,IR1,Lvl,Oth,Gtl,1Fam,7,5,1915,1970,Gable,None,0.0,TA,TA,Oth,Avg,None,ALQ,11.35052133593022,Gd,Yes,Yes,13.709584496453328,1.1943176378757767,Gd,2.2596737867230705,1.0,Oth,10.914147977453368,Yes,0.0,35.0,None,2,2006,140000.0,3.0,11.849404844423075,55,0.7304631471189666,Y,8.263917622663177,None,Wd Sdng
4,RL,6.2917110215767,IR1,Lvl,Oth,Gtl,1Fam,8,5,2000,2000,Gable,Brick,350.0,Gd,TA,PConc,Gd,Yes,GLQ,12.508076870014259,Gd,Yes,Yes,14.47858674088689,1.5409627556327752,Gd,2.6025944687727294,1.0,Attchd,11.62442737226658,Yes,192.0,84.0,None,12,2008,250000.0,4.0,12.429220196836386,0,1.3782017963726023,Y,10.967093751789596,None,VinylSd
5,RL,6.314734756825906,IR1,Lvl,Inside,Gtl,1Fam,5,5,1993,1995,Gable,None,0.0,TA,TA,Oth,Gd,None,GLQ,11.490400541121296,Gd,Yes,Yes,13.01379613893307,0.0,Avg,1.8203341036428238,0.0,Attchd,10.163752275425656,Yes,40.0,30.0,Yes,10,2009,143000.0,2.0,11.870606902224589,2,0.9822467037532344,Y,11.26354444890545,None,VinylSd
6,RL,6.07328940298831,Reg,Lvl,Inside,Gtl,1Fam,8,5,2004,2005,Gable,Oth,186.0,Gd,TA,PConc,Gd,Yes,GLQ,13.65397307714836,Gd,Yes,Yes,13.668407084617783,1.1943176378757767,Gd,2.2596737867230705,1.0,Attchd,10.889403514652981,Yes,255.0,57.0,None,8,2007,307000.0,4.0,12.63460628389302,1,1.1943176378757767,N,13.028935266168922,None,VinylSd
7,RL,5.88741871045203,IR1,Lvl,Oth,Gtl,1Fam,7,6,1973,1973,Gable,Oth,240.0,TA,TA,CBlock,Gd,Yes,ALQ,12.41124721675514,Gd,Yes,Yes,14.319382396433971,1.1943176378757767,Avg,2.2596737867230705,2.0,Attchd,10.184716170074022,Yes,235.0,204.0,None,11,2009,200000.0,3.0,12.206077645517675,0,1.3782017963726023,Y,11.800080217922273,Yes,HdBoard
8,Oth,5.357203202420049,Reg,Lvl,Inside,Gtl,1Fam,7,5,1931,1950,Gable,None,0.0,TA,TA,Oth,Avg,None,None,11.984426143724395,Gd,Yes,None,13.80964745234538,0.7304631471189666,Avg,2.440268378362637,2.0,Oth,10.099957091404244,Yes,90.0,0.0,None,4,2008,129900.0,2.0,11.774527900858466,19,0.7304631471189666,Y,-6.666666666666667,Yes,Other
9,RL,5.3215405626377255,Reg,Lvl,Oth,Gtl,Oth,5,6,1939,1950,Gable,None,0.0,TA,TA,Oth,Avg,None,GLQ,12.097089863928765,Gd,Yes,Yes,12.332786279774028,0.7304631471189666,Avg,1.8203341036428238,2.0,Attchd,8.147315588624346,Yes,0.0,4.0,None,1,2008,118000.0,1.0,11.678448377988165,11,0.7304631471189666,N,11.673284500279395,Yes,MetalSd
10,RL,5.942124359831237,Reg,Lvl,Inside,Gtl,1Fam,5,5,1965,1965,Oth,None,0.0,TA,TA,CBlock,Avg,None,Rec,12.233417658528738,Gd,Yes,Yes,12.233417658528738,1.1943176378757767,Avg,1.8203341036428238,0.0,Oth,9.609735968054126,Yes,0.0,0.0,None,2,2008,129500.0,1.0,11.771443882099636,0,0.7304631471189666,N,11.846383184934503,None,HdBoard
11,RL,6.314734756825906,IR1,Lvl,Inside,Gtl,1Fam,9,5,2005,2006,Oth,Oth,286.0,Ex,TA,PConc,Gd,None,GLQ,12.582610281085431,Gd,Yes,Yes,14.656129704721014,1.5409627556327752,Gd,2.885846472488202,2.0,Oth,11.278207325702041,Yes,147.0,21.0,None,7,2006,345000.0,4.0,12.75130259456002,1,1.5409627556327752,Y,12.116911312065204,None,WdShing
12,RL,5.88741871045203,IR2,Lvl,Inside,Gtl,1Fam,5,6,1962,1962,Oth,None,0.0,TA,TA,CBlock,Avg,None,ALQ,11.86472208100981,Avg,Yes,Yes,11.86472208100981,0.7304631471189666,Avg,1.5409627556327752,0.0,Oth,9.398681444092006,Yes,140.0,0.0,None,9,2008,144000.0,1.0,11.87757552297847,0,0.7304631471189666,N,11.281862458951347,None,HdBoard
