,MSZoning,LotFrontage,LotShape,LandContour,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SalePrice,NeighType,SalePrice_Log,Age,Baths,2Story,BsmtFinSF,RoadRail,Exterior
0,RL,-0.08724891339769637,Reg,Lvl,Inside,Gtl,1Fam,0.6358941026257752,-0.6728676671476155,1.0408657921495241,0.8671814305718155,Gable,Brick,0.5066433490301405,Gd,Avg,PConc,Gd,None,GLQ,-0.008552611514968882,Gd,Yes,Yes,0.5076959746006928,0.20791870586109604,Gd,0.9469140869601315,-0.956887856653243,Attchd,0.33257087771245597,Yes,-0.7550856808805708,0.2158041649989489,None,-1.5994529452528568,0.1338331294353117,0.3283825089062594,0.4880694633781091,0.5457015409558031,-0.5488834841031427,1.4039433037888367,Y,0.712844078273399,None,VinylSd
1,RL,0.5807139640058498,Reg,Lvl,Oth,Gtl,1Fam,-0.19112547466561258,2.3420135898460543,0.13759871969988816,-0.45179107990126294,Gable,None,-0.5701992272717892,Avg,Avg,CBlock,Gd,Yes,ALQ,0.33934752402810386,Gd,Yes,Yes,-0.4060988287461694,0.20791870586109604,Avg,-0.21826644679462734,0.5885972978715879,Attchd,0.22057961589662362,Yes,1.6184454187659028,-0.726763549635617,None,-0.48622087194925656,-0.6218344184738095,-0.009909038681984101,1.462080180264946,0.19295178198314,-0.5488834841031427,0.4716620056305747,N,0.8213457964705663,Yes,MetalSd
2,RL,0.05613671053198445,IR1,Lvl,Inside,Gtl,1Fam,0.6358941026257752,-0.6728676671476155,0.9739571201162177,0.8183305968505904,Gable,Brick,0.319844126610418,Gd,Avg,PConc,Gd,Yes,GLQ,0.05454587837569621,Gd,Yes,Yes,0.6419361895859462,0.20791870586109604,Gd,-0.21826644679462734,0.5885972978715879,Attchd,0.40044695124135243,Yes,-0.7550856808805708,-0.07778250021509621,None,0.9980885591222104,0.1338331294353117,0.5163222575663947,0.4880694633781091,0.7224089010196175,-0.5078037298373275,1.4039433037888367,Y,0.5948724664187602,None,VinylSd
3,RL,-0.33923644726363533,IR1,Lvl,Oth,Gtl,1Fam,0.6358941026257752,-0.6728676671476155,-1.9031157773159562,-0.7448960822286137,Gable,None,-0.5701992272717892,Avg,Avg,Oth,Avg,None,ALQ,-0.11567890135902638,Gd,Yes,Yes,0.5202699463948048,0.20791870586109604,Gd,0.39982459493922096,0.5885972978715879,Oth,0.43641876109224226,Yes,-0.7550856808805708,-0.18594600845184966,None,-1.5994529452528568,-1.3775019663829307,-0.5298756766416918,0.4880694633781091,-0.46738974376213993,1.710503000516696,-0.12116557863173615,Y,0.3603342525315458,None,Wd Sdng
4,RL,0.7407105717478423,IR1,Lvl,Oth,Gtl,1Fam,1.462913679917163,-0.6728676671476155,0.9405027840995646,0.72062892940814,Gable,Brick,1.3527339446959425,Gd,Avg,PConc,Gd,Yes,GLQ,0.25023925571323646,Gd,Yes,Yes,1.2949155611694019,0.7698052339930662,Gd,1.4386613621024578,0.5885972978715879,Attchd,0.6152018214407754,Yes,0.7741692558044054,0.5711985492054246,None,2.1113206324258105,0.1338331294353117,0.8483491468659671,1.462080180264946,1.007413992180327,-0.5488834841031427,1.4039433037888367,Y,0.6886222538292418,None,VinylSd
5,RL,0.7796958477609217,IR1,Lvl,Inside,Gtl,1Fam,-1.0181450519570003,-0.6728676671476155,0.7063224319829923,0.47637476080201446,Gable,None,-0.5701992272717892,Avg,Avg,Oth,Gd,None,GLQ,-0.07146128978952868,Gd,Yes,Yes,-0.18062449684742218,-1.7279833353245033,Avg,-0.9311018844135527,-0.956887856653243,Attchd,0.24753810221267458,Yes,-0.4364909024045341,-0.26320565719238787,Yes,1.3691659168900772,0.8895006773444329,-0.49228772690966466,-0.48594125350872763,-0.4134607232124205,-0.46672397557151224,0.4716620056305747,Y,0.7246247938749484,None,VinylSd
6,RL,0.3708649756391331,Reg,Lvl,Inside,Gtl,1Fam,1.462913679917163,-0.6728676671476155,1.0743201281661774,0.9648830980142657,Gable,Oth,0.4517024012596339,Gd,Avg,PConc,Gd,Yes,GLQ,0.6124717499342555,Gd,Yes,Yes,0.4787903515859917,0.20791870586109604,Gd,0.39982459493922096,0.5885972978715879,Attchd,0.43019037995315934,Yes,1.2759560319041632,0.15399644600651835,None,0.6270112013543436,-0.6218344184738095,1.562520191774481,1.462080180264946,1.5298288734713792,-0.5078037298373275,0.9709857154419235,N,0.9390231886610201,None,VinylSd
7,RL,0.05613671053198445,IR1,Lvl,Oth,Gtl,1Fam,0.6358941026257752,0.3320927518502745,0.03723571164992861,-0.5983435810649383,Gable,Oth,0.7483835192203697,Avg,Avg,CBlock,Gd,Yes,ALQ,0.21963015988392875,Gd,Yes,Yes,1.1345428858277846,0.20791870586109604,Avg,0.39982459493922096,2.134082452396419,Attchd,0.2528148838135892,Yes,1.116658642666145,2.425430118978341,None,1.7402432746579437,0.8895006773444329,0.22188331799884942,0.4880694633781091,0.43983421533788575,-0.5488834841031427,1.4039433037888367,Y,0.7897845344251055,Yes,HdBoard
8,Oth,-0.8416584431781066,Reg,Lvl,Inside,Gtl,1Fam,0.6358941026257752,-0.6728676671476155,-1.367846401049505,-1.7219127566531163,Gable,None,-0.5701992272717892,Avg,Avg,Oth,Avg,None,None,0.08470654210121761,Gd,Yes,None,0.6210672204525131,-0.5439556925329229,Avg,0.9469140869601315,2.134082452396419,Oth,0.2314803391434738,Yes,-0.03824742930948819,-0.726763549635617,None,-0.8572982297171233,0.1338331294353117,-0.6564217740728495,-0.48594125350872763,-0.6578448526953792,0.231631846947347,-0.12116557863173615,Y,-1.4529148442392579,Yes,Other
9,RL,-0.9020447289054329,Reg,Lvl,Oth,Gtl,Oth,-1.0181450519570003,0.3320927518502745,-1.1002117129162796,-1.7219127566531163,Gable,None,-0.5701992272717892,Avg,Avg,Oth,Avg,None,GLQ,0.12032098966092883,Gd,Yes,Yes,-0.8666319888078621,-0.5439556925329229,Avg,-0.9311018844135527,2.134082452396419,Attchd,-0.26001529789714994,Yes,-0.7550856808805708,-0.6649558306431864,None,-1.9705303030207235,0.1338331294353117,-0.8055206413432234,-1.4599519703955643,-0.9022303086632305,-0.097006187179175,-0.12116557863173615,N,0.7743857920828744,Yes,MetalSd
